group,NLL_D1,NLL_D2,NLL_D3,NLL_D4,AIC_D1,AIC_D2,AIC_D3,AIC_D4
0,79402.38630600434,79361.50194241284,80023.80999926568,77518.37353675674,159350.77261200867,159269.00388482568,160593.61999853136,156606.74707351348
1,68540.0151033841,68745.7812488358,68891.77550964922,66343.37759617118,137632.0302067682,138043.5624976716,138335.55101929844,134262.75519234236
2,16532.162864695914,16731.4411462371,16610.26108332054,16435.924165921657,33590.32572939183,33988.8822924742,33746.52216664108,34421.848331843314
